time	open	high	low	close	tick_volume	spread	real_volume	short_ma	long_ma	signal
2021-12-10 12:00:00	1770.85	1785.28	1770.41	1784.22	18171	5	0	1779.3529999999998	1780.2542	-1
2021-12-10 16:00:00	1784.2	1789.41	1778.83	1783.5	27820	5	0	1779.257	1779.9842	-1
2021-12-10 20:00:00	1783.51	1785.07	1781.37	1782.82	7458	5	0	1778.9669999999999	1779.7258	-1
2021-12-13 00:00:00	1782.77	1786.91	1782.51	1786.78	6383	5	0	1779.352	1779.9751999999999	-1
2021-12-13 04:00:00	1786.78	1788.28	1784.48	1784.87	8221	5	0	1780.0729999999999	1780.1840000000002	-1
2021-12-13 08:00:00	1784.89	1787.83	1783.36	1785.45	12970	5	0	1780.914	1780.3882	1
2021-12-13 12:00:00	1785.48	1791.57	1782.06	1783.19	18519	5	0	1781.72	1780.24	1
2021-12-13 16:00:00	1783.18	1790.17	1781.83	1788.35	22053	5	0	1782.716	1780.3501999999999	1
2021-12-13 20:00:00	1788.35	1788.79	1786.32	1786.99	7229	5	0	1783.703	1780.329	1
2021-12-14 00:00:00	1785.95	1788.92	1785.11	1788.38	5944	5	0	1785.455	1780.4130000000002	1
2021-12-14 04:00:00	1788.37	1789.53	1785.4	1787.38	8132	5	0	1785.771	1780.523	1
2021-12-14 08:00:00	1787.38	1788.5	1782.08	1783.77	12902	5	0	1785.798	1780.5929999999998	1
2021-12-14 12:00:00	1783.78	1785.73	1771.65	1772.29	18344	5	0	1784.7450000000001	1780.5174	1
2021-12-14 16:00:00	1772.24	1778.29	1766.43	1772.57	28685	5	0	1783.324	1780.5044	1
2021-12-14 20:00:00	1772.57	1773.17	1770.3	1770.58	8797	5	0	1781.895	1780.4278	1
2021-12-15 00:00:00	1771.44	1773.9	1771.17	1772.74	5487	5	0	1780.6240000000003	1780.615	1
2021-12-15 04:00:00	1772.7	1773.07	1768.2	1769.35	8869	5	0	1779.2400000000002	1780.634	-1
2021-12-15 08:00:00	1769.35	1771.44	1766.84	1769.57	12889	5	0	1777.3619999999999	1780.6136000000001	-1
2021-12-15 12:00:00	1769.57	1773.69	1767.72	1772.02	15581	5	0	1775.8650000000002	1780.5338000000002	-1
2021-12-15 16:00:00	1772.01	1772.55	1764.34	1765.69	23964	5	0	1773.596	1780.4669999999999	-1
